word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
双,B,n,O,又,shuāng
调,E,n,O,讠,tiáo
·,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
蟾,B,n,O,虫,chán
宫,E,n,O,宀,gōng
曲,S,q,O,曰,qū
】,S,x,O,KUO,KUO
LB,S,x,O,UNK,UNK
叹,S,zg,O,口,tàn
落,B,n,O,艹,là
日,E,n,O,日,rì
孤,B,nr,B-Nature,子,gū
鸿,M,nr,I-Nature,鸟,hóng
往,E,nr,O,彳,wǎng
还,S,d,O,辶,huán
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
几,B,d,O,几,jī
度,E,d,O,广,dù
花,S,v,B-Nature,艹,huā
开,S,v,O,廾,kāi
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
几,B,d,O,几,jī
度,E,d,O,广,dù
花,S,v,B-Nature,艹,huā
残,S,a,O,歹,cán
？,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
紫,B,nr,B-Color,糸,zǐ
盖,E,nr,I-Color,皿,gài
黄,B,nr,B-Color,黄,huáng
旗,E,nr,I-Color,方,qí
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
垂,B,n,B-Nature,土,chuí
柳,E,n,I-Nature,木,liǔ
依,B,z,O,亻,yī
依,E,z,O,亻,yī
惹,B,i,O,心,rě
暮,M,i,O,日,mù
烟,E,i,O,火,yān
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
素,S,n,O,糸,sù
魄,B,n,O,鬼,pò
娟,E,n,O,女,juān
娟,B,a,O,女,juān
当,E,a,O,彐,dāng
绣,S,v,O,纟,xiù
轩,S,nr,O,车,xuān
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
啼,S,v,O,口,tí
得,S,ud,O,彳,dé
花,B,i,B-Nature,艹,huā
残,M,i,O,歹,cán
声,E,i,O,士,shēng
更,S,d,O,曰,gēng
悲,S,a,O,心,bēi
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
杜,B,nr,B-Nature,木,dù
鹃,E,nr,I-Nature,鸟,juān
