word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
三,M,m,O,一,sān
十,M,m,O,十,shí
一,E,m,O,一,yī
出,B,v,O,凵,chū
见,E,v,O,见,jiàn
母,S,n,O,母,mǔ
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
夜,B,n,O,夕,yè
行,E,n,O,行,háng
船,S,n,O,舟,chuán
】,S,x,O,KUO,KUO
(,S,x,O,UNK,UNK
生,B,n,O,生,shēng
上,E,n,O,一,shàng
),S,x,O,UNK,UNK
一,B,d,O,一,yī
幅,E,d,O,巾,fú
鸾,S,nr,B-Nature,鸟,luán
笺,S,v,O,竹,jiān
飞,S,v,O,飞,fēi
报,B,v,O,扌,bào
喜,E,v,O,口,xǐ
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
垂,B,v,O,土,chuí
白,E,v,B-Color,白,bái
母,S,n,I-Color,母,mǔ
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
雁,B,n,B-Nature,隹,yàn
塔,M,n,O,土,tǎ
题,M,n,O,页,tí
名,E,n,O,口,míng
感,S,v,O,心,gǎn
圣,B,nrt,O,土,shèng
恩,E,nrt,O,心,ēn
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
缥,B,a,O,纟,piǎo
缈,E,a,O,纟,miǎo
乡,B,n,O,乙,xiāng
关,E,n,O,丷,guān
多,S,m,O,夕,duō
白,B,nr,B-Color,白,bái
云,E,nr,I-Color,二,yún
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
(,S,x,O,UNK,UNK
末,S,f,O,木,mò
),S,x,O,UNK,UNK
红,B,n,B-Color,纟,hóng
楼,E,n,I-Color,木,lóu
翠,B,n,B-Color,羽,cuì
馆,E,n,I-Color,饣,guǎn
笙,B,n,O,竹,shēng
歌,E,n,O,欠,gē
沸,S,zg,O,氵,fèi
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
柳,B,nr,B-Nature,木,liǔ
陌,M,nr,O,阝,mò
花,M,nr,B-Nature,艹,huā
街,E,nr,O,行,jiē
兰,S,nr,O,丷,lán
