word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
三,M,m,O,一,sān
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
皈,B,v,O,白,guī
依,E,v,O,亻,yī
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
北,B,n,O,匕,běi
点,E,n,O,灬,diǎn
绛,S,b,O,纟,jiàng
唇,S,ng,O,口,chún
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
老,B,nr,O,耂,lǎo
和,M,nr,O,口,hé
尚,E,nr,O,小,shàng
上,S,f,O,一,shàng
）,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
宝,B,n,O,宀,bǎo
焰,E,n,O,火,yàn
金,B,nz,B-Color,金,jīn
华,E,nz,I-Color,十,huá
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
南,S,f,O,十,nán
无,S,v,O,一,wú
一,B,r,O,一,yī
切,E,r,O,刀,qiē
同,B,n,O,口,tóng
名,E,n,O,口,míng
佛,S,n,O,亻,fó
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
［,S,x,O,UNK,UNK
长,B,l,O,长,cháng
短,M,l,O,矢,duǎn
句,E,l,O,口,jù
］,S,x,O,UNK,UNK
意,B,n,O,心,yì
树,E,n,B-Nature,木,shù
空,B,s,O,穴,kōng
中,E,s,O,丨,zhōng
生,B,n,O,生,shēng
树,E,n,B-Nature,木,shù
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
药,B,n,O,艹,yào
树,E,n,B-Nature,木,shù
池,B,s,O,氵,chí
边,E,s,O,辶,biān
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
记,B,v,O,讠,jì
得,E,v,O,彳,dé
经,B,n,O,纟,jīng
行,E,n,O,行,háng
树,B,n,B-Nature,木,shù
影,E,n,O,彡,yǐng
；,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
心,S,n,O,心,xīn
莲,S,ng,B-Nature,艹,lián
火,S,n,O,火,huǒ
