word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
四,M,m,O,囗,sì
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
风,B,n,O,风,fēng
木,E,n,O,木,mù
馀,S,g,O,饣,yú
恨,S,v,O,忄,hèn
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
梅,B,nr,O,木,méi
花,E,nr,O,艹,huā
引,S,v,O,弓,yǐn
】,S,x,O,KUO,KUO
〔,S,x,O,UNK,UNK
旦,S,j,O,日,dàn
、,S,x,O,UNK,UNK
贴,S,v,O,贝,tiē
〕,S,x,O,UNK,UNK
惟,B,b,O,忄,wéi
有,E,b,O,月,yǒu
青,B,ns,B-Color,青,qīng
山,E,ns,I-Color,山,shān
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
添,S,v,O,氵,tiān
得,S,ud,O,彳,dé
个,S,m,O,人,gè
坟,B,n,O,土,fén
墓,E,n,O,土,mù
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
【,S,x,O,KUO,KUO
玉,B,nr,O,玉,yù
楼,M,nr,O,木,lóu
春,E,nr,O,日,chūn
】,S,x,O,KUO,KUO
〔,S,x,O,UNK,UNK
贴,S,v,O,贝,tiē
〕,S,x,O,UNK,UNK
荒,B,n,O,艹,huāng
坟,E,n,O,土,fén
衰,B,v,B-Nature,衣,shuāi
草,E,v,I-Nature,艹,cǎo
连,B,a,O,辶,lián
寒,E,a,O,宀,hán
烟,S,n,O,火,yān
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
苍,B,nr,B-Nature,艹,cāng
苔,E,nr,I-Nature,艹,tái
黄,B,nr,B-Color,黄,huáng
叶,E,nr,I-Color,口,yè
飞,S,v,O,飞,fēi
蘯,S,zg,B-Nature,艹,dàng
蘩,S,g,I-Nature,艹,fán
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
〔,S,x,O,UNK,UNK
生,S,vn,O,生,shēng
〕,S,x,O,UNK,UNK
欲,S,d,O,欠,yù
