word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
二,M,m,O,二,èr
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
套,B,n,O,大,tào
书,E,n,O,乙,shū
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
双,S,n,O,又,shuāng
劝,B,v,O,力,quàn
酒,E,v,O,酉,jiǔ
】,S,x,O,KUO,KUO
早,S,a,O,日,zǎo
写,S,v,O,冖,xiě
万,B,n,B-Color,一,wàn
金,E,n,I-Color,金,jīn
书,S,n,I-Color,乙,shū
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
一,B,i,O,一,yī
举,M,i,O,丶,jǔ
成,M,i,O,戈,chéng
名,E,i,O,口,míng
身,S,ng,O,身,shēn
挂,B,v,B-Color,扌,guà
绿,E,v,I-Color,纟,lǜ
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
一,B,i,O,一,yī
举,M,i,O,丶,jǔ
成,M,i,O,戈,chéng
名,E,i,O,口,míng
身,S,ng,O,身,shēn
挂,B,v,B-Color,扌,guà
绿,E,v,I-Color,纟,lǜ
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
［,S,x,O,UNK,UNK
改,S,v,O,攵,gǎi
］,S,x,O,UNK,UNK
孩,B,n,O,子,hái
儿,E,n,O,儿,ér
已,S,d,O,己,yǐ
挂,B,v,B-Color,扌,guà
绿,E,v,I-Color,纟,lǜ
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
聊,B,v,O,耳,liáo
奉,E,v,O,大,fèng
白,B,n,B-Color,白,bái
金,E,n,I-Color,金,jīn
一,B,m,O,一,yī
两,E,m,O,一,liǎng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
［,S,x,O,UNK,UNK
净,S,a,O,冫,jìng
］,S,x,O,UNK,UNK
不,B,c,O,一,bù
是,E,c,O,日,shì
一,B,m,O,一,yī
番,E,m,O,田,fān
寒,S,n,O,宀,hán
彻,B,z,O,彳,chè
骨,E,z,O,骨,gǔ
，,S,x,O,UNK,UNK
