word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
第,B,m,O,竹,dì
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
开,B,nz,O,廾,kāi
宗,E,nz,O,宀,zōng
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
小,S,a,O,小,xiǎo
重,B,ns,O,里,zhòng
山,E,ns,O,山,shān
】,S,x,O,KUO,KUO
（,S,x,O,UNK,UNK
末,B,f,O,木,mò
上,E,f,O,一,shàng
）,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
瑞,S,j,O,王,ruì
日,S,j,O,日,rì
山,B,ns,O,山,shān
河,E,ns,O,氵,hé
锦,B,n,O,钅,jǐn
绣,E,n,O,纟,xiù
新,S,a,O,斤,xīn
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
邀,B,v,O,辶,yāo
欢,E,v,O,欠,huān
临,S,v,O,丨,lín
翠,S,ng,B-Color,羽,cuì
陌,S,ag,I-Color,阝,mò
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
转,S,v,O,车,zhuǎn
芳,B,n,O,艹,fāng
尘,E,n,O,小,chén
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
共,S,d,O,八,gòng
攀,S,v,O,手,pān
桃,B,n,B-Nature,木,táo
李,E,n,I-Nature,木,lǐ
出,S,v,O,凵,chū
精,B,n,O,米,jīng
神,E,n,O,礻,shén
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
银,B,n,B-Color,钅,yín
烛,E,n,I-Color,火,zhú
映,B,nr,O,日,yìng
红,M,nr,B-Color,纟,hóng
纶,E,nr,I-Color,纟,lún
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
此,B,c,O,止,cǐ
时,E,c,O,日,shí
花,S,v,B-Nature,艹,huā
和,S,c,O,口,hé
月,S,m,B-Nature,月,yuè
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
翠,B,nr,B-Color,羽,cuì
