word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
三,M,m,O,一,sān
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
几,S,m,O,几,jī
言,S,vg,O,言,yán
谏,S,vg,O,讠,jiàn
父,S,ng,O,父,fù
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
前,B,n,O,刂,qián
腔,E,n,O,月,qiāng
】,S,x,O,KUO,KUO
吾,S,r,O,口,wú
老,B,n,O,耂,lǎo
入,E,n,O,入,rù
桑,B,nr,B-Nature,木,sāng
榆,E,nr,I-Nature,木,yú
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
太,B,ns,O,大,tài
平,E,ns,O,干,píng
歌,S,n,O,欠,gē
】,S,x,O,KUO,KUO
只,B,c,O,口,zhī
要,E,c,O,覀,yào
保,B,v,O,亻,bǎo
全,E,v,O,入,quán
金,B,i,B-Color,金,jīn
榜,M,i,I-Color,木,bǎng
挂,M,i,O,扌,guà
名,E,i,O,口,míng
时,S,n,O,日,shí
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
赏,S,v,O,贝,shǎng
宫,B,n,O,宀,gōng
花,E,n,O,艹,huā
】,S,x,O,KUO,KUO
〔,S,x,O,UNK,UNK
贴,S,v,O,贝,tiē
〕,S,x,O,UNK,UNK
他,S,r,O,亻,tā
数,B,m,O,攵,shù
载,E,m,O,车,zǎi
不,B,a,O,一,bù
通,E,a,O,辶,tōng
鱼,B,nr,B-Nature,鱼,yú
雁,M,nr,I-Nature,隹,yàn
信,E,nr,O,亻,xìn
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
枉,S,vg,O,木,wǎng
了,S,ul,O,乙,liǎo
十,B,m,O,十,shí
年,E,m,O,干,nián
