word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
二,M,m,O,二,èr
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
及,B,n,O,又,jí
第,E,n,O,竹,dì
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
天,B,s,O,大,tiān
下,E,s,O,一,xià
乐,S,a,O,丿,lè
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
文,B,nr,O,文,wén
武,M,nr,O,止,wǔ
官,E,nr,O,宀,guān
上,S,f,O,一,shàng
）,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
玉,B,nr,O,玉,yù
署,M,nr,O,罒,shǔ
金,E,nr,B-Color,金,jīn
钤,S,vg,I-Color,钅,qián
紫,B,nr,B-Color,糸,zǐ
禁,M,nr,I-Color,示,jīn
通,E,nr,O,辶,tōng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
芙,B,n,B-Nature,艹,fú
蓉,E,n,I-Nature,艹,róng
晖,B,nz,O,日,huī
映,E,nz,O,日,yìng
凤,B,nr,B-Nature,几,fèng
凰,E,nr,I-Nature,几,huáng
宫,S,nr,O,宀,gōng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
三,B,ns,O,一,sān
山,E,ns,O,山,shān
日,B,n,O,日,rì
色,E,n,O,色,sè
黄,B,n,B-Color,黄,huáng
图,E,n,I-Color,囗,tú
外,S,f,O,夕,wài
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
四,B,ns,O,囗,sì
海,E,ns,O,氵,hǎi
云,B,nr,O,二,yún
光,M,nr,O,儿,guāng
绿,E,nr,B-Color,纟,lǜ
字,S,n,I-Color,子,zì
中,S,f,O,丨,zhōng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
卜,B,n,O,卜,bǔ
算,M,n,O,竹,suàn
子,E,n,O,子,zǐ
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
