word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
三,M,m,O,一,sān
十,M,m,O,十,shí
六,E,m,O,八,liù
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
孝,B,n,O,子,xiào
妇,E,n,O,女,fù
题,S,n,O,页,tí
真,S,d,O,目,zhēn
LB,S,x,O,UNK,UNK
〔,S,x,O,UNK,UNK
末,B,f,O,木,mò
上,E,f,O,一,shàng
〕,S,x,O,UNK,UNK
于,B,nr,O,二,yú
今,E,nr,O,人,jīn
腰,S,n,O,月,yāo
下,S,f,O,一,xià
佩,S,v,O,亻,pèi
金,B,n,B-Color,金,jīn
鱼,E,n,I-Color,鱼,yú
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
我,S,r,O,戈,wǒ
相,B,nr,O,目,xiāng
公,E,nr,O,八,gōng
虽,S,c,O,虫,suī
居,S,n,O,尸,jū
凤,B,nr,B-Nature,几,fèng
阁,M,nr,O,门,gé
鸾,E,nr,B-Nature,鸟,luán
台,S,q,O,口,tái
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
常,S,d,O,巾,cháng
在,S,p,O,土,zài
萤,B,v,B-Nature,艹,yíng
窗,M,v,O,穴,chuāng
雪,M,v,O,雨,xuě
案,E,v,O,木,àn
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
碧,B,n,B-Color,石,bì
纱,E,n,I-Color,纟,shā
内,S,n,O,冂,nèi
烟,B,n,O,火,yān
雾,E,n,O,雨,wù
轻,B,z,O,车,qīng
盈,E,z,O,皿,yíng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
青,S,a,B-Color,青,qīng
毡,S,ng,I-Color,毛,zhān
上,S,f,O,一,shàng
尘,B,n,O,小,chén
埃,E,n,O,土,āi
不,B,v,O,一,bù
染,E,v,O,木,rǎn
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
粉,B,n,B-Color,米,fěn
壁,E,n,I-Color,土,bì
间,S,f,O,门,jiān
挂,S,v,O,扌,guà
三,S,m,O,一,sān
四,B,m,O,囗,sì
幅,E,m,O,巾,fú
