word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
十,M,m,O,十,shí
六,E,m,O,八,liù
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
丹,S,nr,O,丿,dān
陛,B,n,O,阝,bì
陈,E,n,O,阝,chén
情,S,n,O,忄,qíng
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
北,B,n,O,匕,běi
点,E,n,O,灬,diǎn
绦,B,n,O,纟,tāo
唇,E,n,O,口,chún
】,S,x,O,KUO,KUO
移,B,vn,O,禾,yí
步,E,vn,O,止,bù
丹,B,nr,B-Color,丿,dān
墀,E,nr,I-Color,土,chí
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
摆,B,v,O,扌,bǎi
列,E,v,O,刂,liè
著,B,n,O,艹,zhù
金,E,n,B-Color,金,jīn
龙,B,n,I-Color,龙,lóng
案,E,n,I-Color,木,àn
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
北,B,nz,O,匕,běi
混,E,nz,O,氵,hùn
江,B,ns,O,氵,jiāng
龙,E,ns,O,龙,lóng
】,S,x,O,KUO,KUO
随,B,v,O,阝,suí
著,E,v,O,艹,zhù
豹,S,n,B-Nature,豸,bào
尾,S,n,I-Nature,尸,wěi
盘,B,v,O,皿,pán
旋,E,v,O,方,xuán
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
自,B,r,O,自,zì
家,E,r,O,宀,jiā
是,S,v,O,日,shì
汉,B,t,O,氵,hàn
朝,E,t,O,月,zhāo
一,B,m,O,一,yī
个,E,m,O,人,gè
小,S,a,O,小,xiǎo
黄,B,ns,B-Color,黄,huáng
门,E,ns,I-Color,门,mén
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
往,B,t,O,彳,wǎng
来,E,t,O,木,lái
紫,B,nr,B-Color,糸,zǐ
禁,E,nr,I-Color,示,jīn
，,S,x,O,UNK,UNK
