word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
十,M,m,O,十,shí
六,E,m,O,八,liù
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
协,B,v,O,十,xié
贺,E,v,O,贝,hè
LB,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
樱,B,n,O,木,yīng
桃,E,n,O,木,táo
上,S,f,O,一,shàng
）,S,x,O,UNK,UNK
银,B,n,B-Color,钅,yín
蔓,E,n,I-Color,艹,màn
牵,B,i,O,牛,qiān
花,M,i,O,艹,huā
紫,E,i,B-Color,糸,zǐ
带,B,v,I-Color,巾,dài
长,E,v,O,长,cháng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
丝,B,m,O,一,sī
丝,E,m,O,一,sī
绊,S,v,O,纟,bàn
着,S,uz,O,目,zhuó
有,B,n,O,月,yǒu
情,E,n,O,忄,qíng
娘,S,n,O,女,niáng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
探,B,nr,O,扌,tàn
春,E,nr,O,日,chūn
令,S,v,O,人,líng
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
红,B,n,B-Color,纟,hóng
楼,E,n,I-Color,木,lóu
半,B,m,O,十,bàn
夜,E,m,O,夕,yè
暖,B,nz,O,日,nuǎn
溶,M,nz,O,氵,róng
溶,E,nz,O,氵,róng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
罗,S,j,O,罒,luó
帐,S,q,O,巾,zhàng
春,B,n,O,日,chūn
风,E,n,O,风,fēng
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
莺,B,i,O,艹,yīng
啼,E,i,O,口,tí
序,S,n,O,广,xù
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
银,B,n,B-Color,钅,yín
缸,E,n,I-Color,缶,gāng
背,S,v,O,月,bèi
帐,S,q,O,巾,zhàng
肌,B,n,O,月,jī
色,E,n,O,色,sè
融,S,vn,O,虫,róng
，,S,x,O,UNK,UNK
