word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
二,M,m,O,二,èr
十,M,m,O,十,shí
六,E,m,O,八,liù
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
抵,B,v,O,扌,dǐ
塞,E,v,O,土,sāi
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
齐,B,nr,O,齐,qí
天,M,nr,O,大,tiān
乐,E,nr,O,丿,lè
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
杜,S,nr,O,木,dù
黄,B,n,O,黄,huáng
裳,E,n,O,衣,cháng
上,S,f,O,一,shàng
）,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
芙,B,n,B-Nature,艹,fú
蓉,E,n,I-Nature,艹,róng
绛,S,b,B-Color,纟,jiàng
阙,S,nr,I-Color,门,quē
朝,S,p,O,月,zhāo
元,B,nr,O,二,yuán
山,E,nr,O,山,shān
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
玄,B,nr,B-Color,玄,xuán
绿,M,nr,I-Color,纟,lǜ
绶,E,nr,O,纟,shòu
曾,B,nr,O,曰,zēng
调,M,nr,O,讠,tiáo
珍,M,nr,O,王,zhēn
铉,E,nr,O,钅,xuàn
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
鳷,S,yg,B-Nature,鳥,zhī
鹊,S,ng,I-Nature,鸟,què
观,S,vg,O,见,guān
前,S,f,O,刂,qián
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
麒,B,n,B-Nature,鹿,qí
麟,E,n,I-Nature,鹿,lín
阁,S,ng,O,门,gé
上,S,f,O,一,shàng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
丽,B,nrt,O,一,lì
日,E,nrt,O,日,rì
黄,B,nr,B-Color,黄,huáng
图,E,nr,I-Color,囗,tú
赤,B,ns,O,赤,chì
县,E,ns,O,厶,xiàn
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
金,B,nr,B-Color,金,jīn
戈,E,nr,I-Color,戈,gē
昼,S,ng,O,日,zhòu
