word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
楔,B,n,O,木,xiē
子,E,n,O,子,zǐ
LB,S,x,O,UNK,UNK
〔,S,x,O,UNK,UNK
卜,B,nr,O,卜,bǔ
儿,E,nr,O,儿,ér
蔡,B,nr,O,艹,cài
婆,E,nr,O,女,pó
上,S,f,O,一,shàng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
诗,B,n,O,讠,shī
云,E,n,O,二,yún
〕,S,x,O,UNK,UNK
花,S,v,B-Nature,艹,huā
有,S,v,O,月,yǒu
重,B,v,O,里,zhòng
开,E,v,O,廾,kāi
日,S,m,O,日,rì
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
一,E,m,O,一,yī
折,S,v,O,扌,zhē
LB,S,x,O,UNK,UNK
〔,S,x,O,UNK,UNK
净,S,a,O,冫,jìng
扮,S,v,O,扌,bàn
赛,B,nr,O,贝,sài
卢,M,nr,O,卜,lú
医,E,nr,O,匚,yī
上,S,f,O,一,shàng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
诗,B,n,O,讠,shī
云,E,n,O,二,yún
〕,S,x,O,UNK,UNK
下,B,n,O,一,xià
药,E,n,O,艹,yào
依,S,d,O,亻,yī
本,B,n,O,木,běn
草,E,n,B-Nature,艹,cǎo
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
混,S,v,O,氵,hùn
江,B,ns,O,氵,jiāng
龙,E,ns,O,龙,lóng
】,S,x,O,KUO,KUO
则,S,d,O,刂,zé
问,S,v,O,门,wèn
那,S,r,O,阝,nà
黄,B,t,B-Color,黄,huáng
昏,E,t,I-Color,日,hūn
白,B,nr,B-Color,白,bái
昼,E,nr,I-Color,日,zhòu
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
催,S,v,O,亻,cuī
人,B,n,O,人,rén
泪,E,n,O,氵,lèi
的,S,uj,O,白,dí
是,S,v,O,日,shì
锦,S,ng,O,钅,jǐn
