word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
倪,S,nr,O,亻,ní
　,S,x,O,UNK,UNK
瓒,S,nr,O,王,zàn
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
黄,B,nr,O,黄,huáng
钟,E,nr,O,钅,zhōng
·,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
人,S,n,O,人,rén
月,S,m,O,月,yuè
圆,S,n,O,囗,yuán
】,S,x,O,KUO,KUO
LB,S,x,O,UNK,UNK
鹧,B,n,B-Nature,鸟,zhè
鸪,E,n,I-Nature,鸟,gū
啼,B,v,O,口,tí
处,E,v,O,夂,chǔ
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
东,B,n,O,一,dōng
风,E,n,O,风,fēng
草,B,b,B-Color,艹,cǎo
绿,E,b,I-Color,纟,lǜ
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
残,B,n,O,歹,cán
照,E,n,O,灬,zhào
花,S,v,B-Nature,艹,huā
开,S,v,O,廾,kāi
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
青,B,ns,B-Color,青,qīng
山,E,ns,I-Color,山,shān
故,B,ns,O,攵,gù
国,E,ns,O,囗,guó
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
乔,B,nr,B-Nature,丿,qiáo
木,E,nr,I-Nature,木,mù
苍,B,nr,B-Color,艹,cāng
苔,E,nr,I-Color,艹,tái
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
池,B,ns,O,氵,chí
塘,E,ns,O,土,táng
春,B,n,B-Nature,日,chūn
草,E,n,I-Nature,艹,cǎo
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
梧,B,n,B-Nature,木,wú
桐,E,n,I-Nature,木,tóng
覆,B,n,O,覀,fù
井,E,n,O,二,jǐng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
杨,B,nr,B-Nature,木,yáng
柳,E,nr,I-Nature,木,liǔ
藏,S,j,O,艹,cáng
门,S,n,O,门,mén
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
