word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
第,B,m,O,竹,dì
六,E,m,O,八,liù
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
丞,B,n,O,一,chéng
相,E,n,O,目,xiāng
教,S,v,O,攵,jiào
女,S,b,O,女,nǚ
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
齐,B,nr,O,齐,qí
天,M,nr,O,大,tiān
乐,E,nr,O,丿,lè
】,S,x,O,KUO,KUO
凤,B,ns,B-Nature,几,fèng
凰,M,ns,I-Nature,几,huáng
池,E,ns,O,氵,chí
上,S,f,O,一,shàng
归,B,v,O,彐,guī
来,E,v,O,木,lái
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
何,B,r,O,亻,hé
事,E,r,O,亅,shì
车,B,n,O,车,chē
填,M,n,O,土,tián
马,M,n,B-Nature,马,mǎ
隘,E,n,O,阝,ài
？,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
星,S,n,O,日,xīng
霜,B,n,B-Color,雨,shuāng
鬓,E,n,I-Color,髟,bìn
改,S,v,O,攵,gǎi
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
赤,S,vg,B-Nature,赤,chì
舄,S,g,I-Nature,臼,xì
非,S,h,O,非,fēi
材,S,n,O,木,cái
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
凄,B,a,O,冫,qī
凉,E,a,O,冫,liáng
丹,B,nr,B-Nature,丿,dān
桂,E,nr,I-Nature,木,guì
好,S,a,O,女,hǎo
伤,B,vn,O,亻,shāng
怀,E,vn,O,忄,huái
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
花,S,v,O,艹,huā
心,B,n,O,心,xīn
动,E,n,O,力,dòng
】,S,x,O,KUO,KUO
不,B,d,O,一,bù
许,E,d,O,讠,xǔ
蜂,B,vn,B-Nature,虫,fēng
迷,M,vn,O,辶,mí
