word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
下,B,v,O,一,xià
定,E,v,O,宀,dìng
LB,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
清,B,ns,O,氵,qīng
江,E,ns,O,氵,jiāng
引,S,v,O,弓,yǐn
】,S,x,O,KUO,KUO
SPACE,S,x,O,UNK,UNK
（,S,x,O,UNK,UNK
李,B,nr,O,木,lǐ
十,M,nr,O,十,shí
郎,E,nr,O,阝,láng
上,S,f,O,一,shàng
）,S,x,O,UNK,UNK
SPACE,S,x,O,UNK,UNK
梅,B,nr,B-Nature,木,méi
花,E,nr,I-Nature,艹,huā
晓,S,vg,O,日,xiǎo
帐,S,q,O,巾,zhàng
红,B,n,B-Color,纟,hóng
云,E,n,I-Color,二,yún
碎,S,n,O,石,suì
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
细,B,n,B-Nature,纟,xì
叶,E,n,I-Nature,口,yè
笼,B,n,O,龙,lóng
金,E,n,B-Color,金,jīn
翡,S,n,I-Color,羽,fěi
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
［,S,x,O,UNK,UNK
愁,S,v,O,心,chóu
倚,S,v,O,亻,yǐ
阑,S,ng,O,门,lán
］,S,x,O,UNK,UNK
云,S,ns,O,二,yún
花,B,n,B-Nature,艹,huā
落,E,n,O,艹,là
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
雨,B,nr,O,雨,yǔ
香,E,nr,O,香,xiāng
飘,S,v,O,风,piāo
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
索,B,nr,O,糸,suǒ
春,M,nr,O,日,chūn
饶,E,nr,O,饣,ráo
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
皱,S,n,O,皮,zhòu
蹙,S,vg,O,足,cù
柳,B,nr,B-Nature,木,liǔ
丝,E,nr,I-Nature,一,sī
吹,S,v,O,口,chuī
不,B,d,O,一,bù
断,E,d,O,斤,duàn
