word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
第,B,m,O,竹,dì
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
副,S,b,O,刂,fù
末,S,f,O,木,mò
开,B,n,O,廾,kāi
场,E,n,O,土,cháng
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
水,B,l,O,水,shuǐ
调,M,l,O,讠,tiáo
歌,M,l,O,欠,gē
头,E,l,O,大,tóu
】,S,x,O,KUO,KUO
〔,S,x,O,UNK,UNK
副,S,b,O,刂,fù
末,S,f,O,木,mò
上,S,f,O,一,shàng
〕,S,x,O,UNK,UNK
秋,B,nr,O,禾,qiū
灯,M,nr,O,火,dēng
明,E,nr,O,日,míng
翠,S,ng,B-Color,羽,cuì
幕,S,q,I-Color,巾,mù
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
夜,B,n,O,夕,yè
案,E,n,O,木,àn
览,S,v,O,见,lǎn
芸,B,n,O,艹,yún
编,E,n,O,纟,biān
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
正,B,d,O,止,zhèng
是,E,d,O,日,shì
：,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
骅,B,n,B-Nature,马,huá
骝,E,n,I-Nature,马,liú
方,S,n,O,方,fāng
独,B,d,O,犭,dú
步,E,d,O,止,bù
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
万,S,m,B-Nature,一,wàn
马,S,n,I-Nature,马,mǎ
敢,S,v,O,攵,gǎn
争,B,vn,O,刀,zhēng
先,E,vn,O,儿,xiān
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
沁,B,ns,O,氵,qìn
园,M,ns,O,囗,yuán
春,E,ns,O,日,chūn
】,S,x,O,KUO,KUO
奈,S,vg,O,大,nài
朝,B,ns,O,月,zhāo
廷,E,ns,O,廴,tíng
黄,B,nr,B-Color,黄,huáng
