word,bound,flag,label,radical,pinyin
num,B,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,M,m,O,UNK,UNK
num,E,m,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
十,M,m,O,十,shí
一,E,m,O,一,yī
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
蔡,B,nr,O,艹,cài
母,E,nr,O,母,mǔ
嗟,B,v,O,口,jiē
儿,E,v,O,儿,ér
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
前,B,n,O,刂,qián
腔,E,n,O,月,qiāng
】,S,x,O,KUO,KUO
黄,B,nr,B-Color,黄,huáng
榜,E,nr,I-Color,木,bǎng
招,B,nr,O,扌,zhāo
贤,E,nr,O,贝,xián
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
LB,S,x,O,UNK,UNK
第,B,m,O,竹,dì
十,M,m,O,十,shí
二,E,m,O,二,èr
出,S,v,O,凵,chū
　,S,x,O,UNK,UNK
奉,B,v,O,大,fèng
旨,E,v,O,日,zhǐ
招,B,n,O,扌,zhāo
婿,E,n,O,女,xù
LB,S,x,O,UNK,UNK
〔,S,x,O,UNK,UNK
末,B,f,O,木,mò
上,E,f,O,一,shàng
〕,S,x,O,UNK,UNK
屏,B,n,O,尸,píng
间,E,n,O,门,jiān
孔,B,nr,B-Nature,子,kǒng
雀,E,nr,I-Nature,隹,què
人,B,n,O,人,rén
难,E,n,O,隹,nán
中,S,f,O,丨,zhōng
，,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
幕,B,s,O,巾,mù
里,E,s,O,里,lǐ
红,B,n,B-Color,纟,hóng
丝,E,n,I-Color,一,sī
谁,S,r,O,讠,shuí
敢,S,v,O,攵,gǎn
牵,S,v,O,牛,qiān
。,S,x,O,UNK,UNK
sep,sep,sep,sep,sep,sep
LB,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
　,S,x,O,UNK,UNK
【,S,x,O,KUO,KUO
似,S,d,O,亻,sì
娘,B,n,O,女,niáng
儿,E,n,O,儿,ér
】,S,x,O,KUO,KUO
华,S,j,B-Color,十,huá
髮,S,yg,I-Color,髟,fà
渐,S,d,O,氵,jiàn
